trip_id,subscriber_type,bikeid,start_time,start_station_id,start_station_name,end_station_id,end_station_name,duration_minutes
9900291784,Walk Up,176,03/10/2015 15:12:48,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,122
9900291792,Walk Up,177,03/10/2015 16:12:43,2712,Toomey Rd @ South Lamar,1007,Lavaca & 6th,0
9900291831,Walk Up,16,03/10/2015 19:12:39,1007,Lavaca & 6th,1007,Lavaca & 6th,0
9900291856,Walk Up,877,03/10/2015 21:12:43,1006,Zilker Park West,2576,Rainey @ River St,31
9900291861,Walk Up,472,03/10/2015 21:12:45,1006,Zilker Park West,2546,ACC - West & 12th Street,155
9900291867,Walk Up,683,03/10/2015 21:12:48,1006,Zilker Park West,2712,Toomey Rd @ South Lamar,30
9900291910,Walk Up,540,03/10/2015 11:12:02,1006,Zilker Park West,1006,Zilker Park West,1
9900291912,Walk Up,49,03/10/2015 12:12:44,2541,State Capitol @ 14th & Colorado,2541,State Capitol @ 14th & Colorado,38
9900291921,Walk Up,540,03/10/2015 12:12:16,1008,Nueces @ 3rd,1008,Nueces @ 3rd,0
9900291934,Walk Up,445,03/10/2015 13:12:09,1007,Lavaca & 6th,3291,11th & San Jacinto,18
9900291941,Walk Up,195,03/10/2015 13:12:38,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,0
9900292020,Walk Up,58,03/10/2015 18:12:59,1007,Lavaca & 6th,1007,Lavaca & 6th,0
9900292021,Walk Up,16,03/10/2015 18:12:12,1007,Lavaca & 6th,1007,Lavaca & 6th,0
9900292026,Weekender,80,03/10/2015 19:12:23,1006,Zilker Park West,2712,Toomey Rd @ South Lamar,15
9900292050,Walk Up,470,03/10/2015 21:12:34,1006,Zilker Park West,1008,Nueces @ 3rd,23
9900292057,Walk Up,864,03/10/2015 21:12:26,1006,Zilker Park West,2712,Toomey Rd @ South Lamar,8
9900292059,Walk Up,696,03/10/2015 21:12:19,1006,Zilker Park West,2576,Rainey @ River St,31
9900292064,Walk Up,882,03/10/2015 22:12:11,2576,Rainey @ River St,2568,East 11th St. at Victory Grill,14
9900292065,Walk Up,877,03/10/2015 22:12:42,2576,Rainey @ River St,2568,East 11th St. at Victory Grill,14
9900292075,Founding Member,236,03/10/2015 20:12:51,1006,Zilker Park West,2712,Toomey Rd @ South Lamar,7
9900292084,Local365,539,03/10/2015 12:12:23,2568,East 11th St. at Victory Grill,1006,Zilker Park West,24
9900292102,Local365,176,03/10/2015 19:12:00,1006,Zilker Park West,1008,Nueces @ 3rd,14
9900292115,Local365,735,03/10/2015 11:12:49,2712,Toomey Rd @ South Lamar,1008,Nueces @ 3rd,6
9900292122,Local365,518,03/10/2015 14:12:39,1006,Zilker Park West,1006,Zilker Park West,1
9900292139,Local365,514,03/10/2015 14:12:45,1007,Lavaca & 6th,1008,Nueces @ 3rd,3
9900292152,Local365,898,03/10/2015 10:12:11,2576,Rainey @ River St,2536,Waller & 6th St.,8
9900292155,Local365,993,03/10/2015 11:12:21,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,0
9900292174,Local365,181,03/10/2015 18:12:19,1008,Nueces @ 3rd,1008,Nueces @ 3rd,17
9900292179,Local365,72,03/10/2015 20:12:37,1006,Zilker Park West,1006,Zilker Park West,1
9900292193,Local365,862,03/10/2015 13:12:25,2576,Rainey @ River St,2576,Rainey @ River St,3
9900292203,Local30,369,03/10/2015 17:12:20,2712,Toomey Rd @ South Lamar,1006,Zilker Park West,9
9900292214,Local365,894,03/10/2015 21:12:04,1006,Zilker Park West,1008,Nueces @ 3rd,17
9900292232,Local365,555,03/10/2015 11:12:10,2712,Toomey Rd @ South Lamar,1008,Nueces @ 3rd,6
9900292235,Local365,183,03/10/2015 12:12:10,1008,Nueces @ 3rd,2712,Toomey Rd @ South Lamar,9
9900292248,Local365,321,03/10/2015 17:12:36,2564,5th & San Marcos,2576,Rainey @ River St,8
9900292254,Local365,72,03/10/2015 20:12:18,1006,Zilker Park West,1006,Zilker Park West,1
9900292255,Local365,306,03/10/2015 20:12:52,1006,Zilker Park West,1006,Zilker Park West,1
9900292281,Annual,285,03/10/2015 13:12:36,2823,Capital Metro HQ - East 5th at Broadway,2564,5th & San Marcos,7
9900292287,Local365,329,03/10/2015 17:12:31,2564,5th & San Marcos,2576,Rainey @ River St,8
9900292288,Local365,329,03/10/2015 18:12:50,2576,Rainey @ River St,1008,Nueces @ 3rd,18
9900292302,Local365,183,03/10/2015 02:12:30,3291,11th & San Jacinto,1008,Nueces @ 3rd,8
9900292303,Local30,54,03/10/2015 07:12:25,1008,Nueces @ 3rd,1006,Zilker Park West,26
9900292307,Local30,285,03/10/2015 04:12:20,3291,11th & San Jacinto,2823,Capital Metro HQ - East 5th at Broadway,12
9900292319,Local365,191,03/10/2015 12:12:37,2576,Rainey @ River St,1006,Zilker Park West,32
9900292320,Local365,866,03/10/2015 12:12:44,2576,Rainey @ River St,2576,Rainey @ River St,1
9900292347,Local365,306,03/10/2015 20:12:04,1006,Zilker Park West,1006,Zilker Park West,0
9900292363,Local365,735,03/10/2015 12:12:00,1008,Nueces @ 3rd,2712,Toomey Rd @ South Lamar,8
9900292365,Local365,409,03/10/2015 12:12:55,1008,Nueces @ 3rd,1007,Lavaca & 6th,0
9900292373,Local365,400,03/10/2015 15:12:14,2712,Toomey Rd @ South Lamar,1006,Zilker Park West,7
9900292375,Local365,58,03/10/2015 15:12:47,1008,Nueces @ 3rd,1007,Lavaca & 6th,0
9900292386,Local365,549,03/10/2015 19:12:18,2712,Toomey Rd @ South Lamar,2568,East 11th St. at Victory Grill,37
9900292388,Local365,320,03/10/2015 20:12:03,1006,Zilker Park West,2712,Toomey Rd @ South Lamar,7
9900292409,Walk Up,275,04/10/2015 12:12:36,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,36
9900292410,Walk Up,275,04/10/2015 11:12:19,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,26
9900292446,Walk Up,869,04/10/2015 14:12:14,2576,Rainey @ River St,1006,Zilker Park West,20
9900292459,Walk Up,400,04/10/2015 00:12:18,2536,Waller & 6th St.,2564,5th & San Marcos,34
9900292464,Walk Up,576,04/10/2015 00:12:39,1008,Nueces @ 3rd,2576,Rainey @ River St,13
9900292497,Walk Up,951,04/10/2015 17:12:25,1006,Zilker Park West,2540,17th & Guadalupe,24
